"","breed","x1","x2","x3","x4","x5","x6","x7","x8","x9","sex"
"1","modern",123,10.1,23,23,19,7.8,32,33,5.6,"male"
"2","modern",137,9.6,19,22,19,7.8,32,40,5.8,"male"
"3","modern",121,10.2,18,21,21,7.9,35,38,6.2,"male"
"4","modern",130,10.7,24,22,20,7.9,32,37,5.9,"male"
"5","modern",149,12,25,25,21,8.4,35,43,6.6,"male"
"6","modern",125,9.5,23,20,20,7.8,33,37,6.3,"male"
"7","modern",126,9.1,20,22,19,7.5,32,35,5.5,"male"
"8","modern",125,9.7,19,19,19,7.5,32,37,6.2,"male"
"9","modern",121,9.6,22,20,18,7.6,31,35,5.3,"female"
"10","modern",122,8.9,20,20,19,7.6,31,35,5.7,"female"
"11","modern",115,9.3,19,19,20,7.8,33,34,6.5,"female"
"12","modern",112,9.1,19,20,19,6.6,30,33,5.1,"female"
"13","modern",124,9.3,21,21,18,7.1,30,36,5.5,"female"
"14","modern",128,9.6,22,21,19,7.5,32,38,5.8,"female"
"15","modern",130,8.4,23,20,19,7.3,31,40,5.8,"female"
"16","modern",127,10.5,25,23,20,8.7,32,35,6.1,"female"
"17","jackal",120,8.2,18,17,18,7,32,35,5.2,"male"
"18","jackal",107,7.9,17,17,20,7,32,34,5.3,"male"
"19","jackal",110,8.1,18,16,19,7.1,31,32,4.7,"male"
"20","jackal",116,8.5,20,18,18,7.1,32,33,4.7,"male"
"21","jackal",114,8.2,19,18,19,7.9,32,33,5.1,"male"
"22","jackal",111,8.5,19,16,18,7.1,30,33,5,"male"
"23","jackal",113,8.5,17,18,19,7.1,30,34,4.6,"male"
"24","jackal",117,8.7,20,17,18,7,30,34,5.2,"male"
"25","jackal",114,9.4,21,19,19,7.5,31,35,5.3,"male"
"26","jackal",112,8.2,19,17,19,6.8,30,34,5.1,"male"
"27","jackal",110,8.5,18,17,19,7,31,33,4.9,"female"
"28","jackal",111,7.7,20,18,18,6.7,30,32,4.5,"female"
"29","jackal",107,7.2,17,16,17,6,28,35,4.7,"female"
"30","jackal",108,8.2,18,16,17,6.5,29,33,4.8,"female"
"31","jackal",110,7.3,19,15,17,6.1,30,33,4.5,"female"
"32","jackal",105,8.3,19,17,17,6.5,29,32,4.5,"female"
"33","jackal",107,8.4,18,17,18,6.2,29,31,4.3,"female"
"34","jackal",106,7.8,19,18,18,6.2,31,32,4.4,"female"
"35","jackal",111,8.4,17,16,18,7,30,34,4.7,"female"
"36","jackal",111,7.6,19,17,18,6.5,30,35,4.6,"female"
"37","coun",123,9.7,22,21,20,7.8,27,36,6.1,"male"
"38","coun",135,11.8,25,21,23,8.9,31,38,7.1,"male"
"39","coun",138,11.4,25,25,22,9,30,38,7.3,"male"
"40","coun",141,10.8,26,25,21,8.1,29,39,6.6,"male"
"41","coun",135,11.2,25,25,21,8.5,29,39,6.7,"male"
"42","coun",136,11,22,24,22,8.1,31,39,6.8,"male"
"43","coun",131,10.4,23,23,23,8.7,30,36,6.8,"male"
"44","coun",137,10.6,25,24,21,8.3,28,38,6.5,"male"
"45","coun",135,10.5,25,25,21,8.4,29,39,6.9,"male"
"46","coun",131,10.9,25,24,21,8.5,29,35,6.2,"female"
"47","coun",130,11.3,22,23,21,8.7,29,37,7,"female"
"48","coun",144,10.8,24,26,22,8.9,30,42,7.1,"female"
"49","coun",139,10.9,26,23,22,8.7,30,39,6.9,"female"
"50","coun",123,9.8,23,22,20,8.1,26,34,5.6,"female"
"51","coun",137,11.3,27,26,23,8.7,30,39,6.5,"female"
"52","coun",128,10,22,23,22,8.7,29,37,6.6,"female"
"53","coun",122,9.9,22,22,20,8.2,26,36,5.7,"female"
"54","wolf",167,11.5,29,28,25,9.5,41,45,7.2,"male"
"55","wolf",164,12.3,27,26,25,10,42,47,7.9,"male"
"56","wolf",150,11.5,21,24,25,9.3,41,46,8.5,"male"
"57","wolf",145,11.3,28,24,24,9.2,36,41,7.2,"male"
"58","wolf",177,12.4,31,27,27,10.5,43,50,7.9,"male"
"59","wolf",166,13.4,32,27,26,9.5,40,47,7.3,"male"
"60","wolf",164,12.1,27,24,25,9.9,42,45,8.3,"male"
"61","wolf",165,12.6,30,26,25,7.7,40,43,7.9,"male"
"62","wolf",131,11.8,20,24,23,8.8,38,40,6.5,"female"
"63","wolf",163,10.8,27,24,24,9.2,39,48,7,"female"
"64","wolf",164,10.7,24,23,26,9.5,43,47,7.6,"female"
"65","wolf",141,10.4,20,23,23,8.9,38,43,6,"female"
"66","wolf",148,10.6,26,21,24,8.9,39,40,7,"female"
"67","wolf",158,10.7,25,25,24,9.8,41,45,7.4,"female"
"68","prehistoric",112,10.1,17,18,19,7.7,31,33,5.8,"unknown"
"69","prehistoric",115,10,18,23,20,7.8,33,36,6,"unknown"
"70","prehistoric",136,11.9,22,25,21,8.5,36,39,7,"unknown"
"71","prehistoric",111,9.9,19,20,18,7.3,29,34,5.3,"unknown"
"72","prehistoric",130,11.2,23,27,20,9.1,35,35,6.6,"unknown"
"73","prehistoric",125,10.7,19,26,20,8.4,33,37,6.3,"unknown"
"74","prehistoric",132,9.6,19,20,19,9.7,35,38,6.6,"unknown"
"75","prehistoric",121,10.7,21,23,19,7.9,32,35,6,"unknown"
"76","prehistoric",122,9.8,22,23,18,7.9,32,35,6.1,"unknown"
"77","prehistoric",124,9.5,20,24,19,7.6,32,37,6,"unknown"
